Review,rating,Detail_review
 can you really even call it a movie,1,technically there was no cohesive storyline dialogues were all over the place conversations between characters were weird like every time one would say something and other would go into an unrelated monologue mostly ranbirits nothing like the trailer story is not about son and father they didnt show anything about their relationship after the first few scenescoming to content ranvijay never knew to answer a question straight his character had no consistency even if you make a negative character his actions need to be consistent in one instant they want to show he is unhinged and doesnt care and then next instant he would forgive and protect thema movie needs to have a story a plot characters need to make sense inside the movietheir attempt at jokes were so distasteful he gives a wedgie to a servant rants about his underwear theres two monologues about pubic hair theres denial about medicineeven the climax was so underwhelming they just faught in one songworse part was how they used sikhs in the movie they tried to use them to do idk what but theyre just around to elevate ranvijay and in main climax theyre told to stay back then killed on screen helplessly why would you show something like thatall in all as a movie it sucks due to lack of story and badly written characters then theres the content
 a film for the clinically insane made by a psycho,1,the movie glorifies violence physical and sexual abuse denigration of women and basically banks on shock value to provoke viewers rather than pull in people with a coherent storythe director will claim that he is some sort of indian tarantino but its not even close just a badly made movie with a man whom every woman must be careful of and stay very very very far away consider this a warning and avoid this psycho and his movies nothing good can come out of themits specially troubling when you know that these movies will appeal to already mysoginistic men in india and encourage further crimes against women really feel bad for women who now will have to put up with more misogyny because of trash like this
 such a shame for even animals to name this movie,1,ranbir personal show with no story no logic and absurd action scenes anil kapoor and boby are wasted totally the film story is from the age where there are no law and enforcement exists you can do whatever you want to either its your own country or you are in foreign kill as many people as want  to make a century of corpses is like a piece of cake zero emotions and no chemistry between father and sonnot even close to a worst family drama and yes its not a family movie strong language lot of unwanted smooching and obscenity spend 35 hrs with your father or if you are father spend quality time with your son and save yourself from this disaster
 embarrassingly awful,1,went to see it with my 2 boys last night in manchesterwhat looked like an awesome film from the trailer turned out to be an awful experience an embarrassment of 2023be sharmi be hayaaii be ghairati the indians are fast losing their sense of identity as they try so hard to westernise themselves but none of the western world watches any of this kind of trash so why bother losing your authenticitythis film is a sex romp with a mindless and senseless killing spree it beggared belief and on so many occasions we just wanted to walk out but hung in there hoping against hope it would improveranvir kapoor an excellent actor was unable to make the film look intelligent at all and a deaf bobby deol now looking aged was thrown in for good measure in the last 20 minutes anil kapoor looked lost with the odd decent dialogue but nothing out of the ordinaryit was just killing upon killing with scenes and dialogues of sex that would make bollywood no go films with your daughter or mother any wonder that bollywood is dying out slowly and actors are out of work carry on with this trajectory and hindi cinema wont exist in another 20 years as it will have lost itself completelydistasteful disrespectful disgusting
 a toxic symphony of violence and misogyny,1,animal the latest cinematic blunder from director sandeep reddy vanga is a film that assaults the senses and insults the intellect the story if one can call it that centers on vijay a gangster as devoid of depth as he is of conscience ranbir kapoors portrayal of this abhorrent character is as unsettling as it is uninspired his performance lacking any nuance or complexity reduces vijay to a mere caricature of toxic masculinity animal is a cinematic disaster a toxic symphony of violence and misogyny it offers no insights no entertainment and no redemption it is a film that should be avoided at all costs lest it leave its viewers feeling as empty jaded and disturbed as vanga himself
 probably the worst movie ive ever seen,1,you seriously need to question the sanity of the director producers and even the actors of this film im a bit traumatized by the movie and ive seen my fair share of gore this movie was beyond bad and the storyline defies logic which makes it even worse too many instances where basic questions and clarity in communication wouldve reduced the screen time from three hours to two hours max the worst part is the director is planning on a sequel soonif you value your hard earned money and your mental health i would advise you to abstain from watching this 3 and a half hour torture of a film
 pathetically cringe no closure except for boneheads lusting for blood,1,i have a migraine watching this cringe movie literally every aspect of this movie is cringe and in terms of originality this is rajneeti meets kabir singh with an overdose of papa papa give it a rest you can love your father without being abusive to the rest of the world and the great thing is that there is still no closure for the audiences whove been wound up for 35 hours in the hope of at least a detentethe visionary directory sandeep reddy vanga goes to town bringing every debunked cliche to life  the cliched alpha shtick the slaphappy father who favors the soninlaw over his own son the subjugated wives and mother the 1 alpha killing 100 of people not an exaggeration armed with a couple of axes creating body doubles as if thats a thingthe funniest part is that the climax fight with bobby deol literally has its own narration ongoing in the form of a song in the background  as if singing ye dekho kaisa thappad maara with every slap landedno closure is offered to any of the sub plots ongoing with the protagonists  the relation with the wife the kids or even the father to compensate for this sandeep reddy vanga overcompensates with gratuitous violence to satisfy the enraged crowd watching this trash never having been involved in as much as a scuffle much less an actual fightthe plot is as simple as it gets and its clear sandeep reddy vanga didnt have a story to tell as much as a couple of ideas for scenes he wanted to execute based on his diminutive understanding of marathi music fetishization of sikh youth and culture and more importantly his bloodlust to satisfysuch is the bloodlust that even the postcredits scene is drenched in more blood than most animes and thats saying a lot
 it was embarrassing to watch the movie after a point,1,the movie is ridiculously bad keep the misogyny aside which is absolutely horrid the movie is still looks like a headless chicken running around there is absolutely no story i wanted to leave the theatre on so many occasions yep it was that ridiculousthere is such a lack of logic as well ranbir kapoor is in supreme health just a short while after getting a heart transplant and beats the hell out of bobby deol ranbir is killing 200 men alone while his sikh brothers are singing in the background heights of stupidityplease do not watch the movie and give it attention that it clearly does not deserve
 worst ever movie,1,when we make a female lead movie everyone labels it as a feminist movie but even then those movies just portray how a woman challenges society and comes forward in life society cant accept even that and rates the movie so low then what about this nonsense movie is this not a misogynist movie how many movies like this are shown to insult women and objectify them why is no one labelling such movies as misogynist when it actually is why are we still showing women as objects in such kind of movies what is it with movies like kabir singh and animal this movie is so disgusting it shows how ranbir is in real life look at the movies alia chooses and look at the movies this useless fellow chooses he either chooses a playboy movie or a movie where he objectifies women poor alia to be married to such a misogynist
 this animal is exceptionally brilliant but needs a team of psychologists to cure him,7,this is surely one of the best movies that bollywood has produced in the last 10 years in terms of entertainment all things from storyline to music and from action scenes to quality of acting are brilliantly planned and executed even though the running time of the movie is almost 35 hours you actually dont feel its lengthrk has really nailed it this time this performance can be surely counted as one of his very best in terms of quality of acting as much as i want to say the same thing for rashmika the element of common sense is simply not allowing me firstly the quality of acting displayed by her is disappointing compared to her previous performances and further i am still not able to understand why someone like her accepted the movie after reading the scriptmay be due to rk the character she plays feels like a clown in the moviethe adult scenes in the movie were forcefully forced into the script and felt very unnatural the first half of the movie is the most striking and impressive aspect but sadly it starts to lose momentum every minute in the second half unnecessary and untimely placement of songs further declines the experience the movie deviates from its original plot  theme several times which can be frustrating another frustrating part is that several dialogues in english and punjabi language are said so fast that 90 of audience fails to digest them lack of twists and turns makes it boring at times boby deols screen time is not more than 25 minutes and that too without a single dialouge which is again disappointing and surprising because the trailer of the movie makes him look like one of the leadsbut all things said we cannot deny the fact that it is something very fresh and unique which the audience will love one of the most aesthetically appealing  enjoyable movie from bollywood in long time the message it delivers between a father and son is very beautiful and climax makes up for all the faults it haspurely a theatre movie will not be that satisfying if witnessed on mobile or laptop
